timestamp_16,heart_rate
2020-11-25 13:13:00,81
2020-11-25 13:14:00,75
2020-11-25 13:15:00,65
2020-11-25 13:16:00,63
2020-11-25 13:17:00,68
2020-11-25 13:19:00,79
2020-11-25 13:20:00,94
2020-11-25 13:21:00,76
2020-11-25 13:22:00,68
2020-11-25 13:23:00,66
2020-11-25 13:24:00,70
2020-11-25 13:25:00,68
2020-11-25 13:26:00,65
2020-11-25 13:27:00,70
2020-11-25 13:28:00,62
2020-11-25 13:29:00,64
2020-11-25 13:30:00,66
2020-11-25 13:31:00,69
2020-11-25 13:32:00,68
2020-11-25 13:33:00,69
2020-11-25 13:34:00,70
2020-11-25 13:35:00,72
2020-11-25 13:36:00,73
2020-11-25 13:37:00,66
2020-11-25 13:38:00,71
2020-11-25 13:39:00,73
2020-11-25 13:40:00,71
2020-11-25 13:41:00,75
2020-11-25 13:42:00,71
2020-11-25 13:43:00,70
2020-11-25 13:44:00,69
2020-11-25 13:45:00,71
2020-11-25 13:48:00,68
2020-11-25 13:49:00,73
2020-11-25 13:50:00,70
2020-11-25 13:52:00,75
2020-11-25 13:53:00,78
2020-11-25 13:55:00,76
2020-11-25 13:56:00,78
2020-11-25 13:57:00,73
2020-11-25 13:58:00,69
2020-11-25 13:59:00,68
2020-11-25 14:00:00,73
2020-11-25 14:01:00,72
2020-11-25 14:02:00,73
2020-11-25 14:03:00,76
2020-11-25 14:04:00,75
2020-11-25 14:05:00,74
2020-11-25 14:06:00,76
2020-11-25 14:07:00,71
2020-11-25 14:08:00,72
2020-11-25 14:09:00,70
2020-11-25 14:10:00,73
