Timestamp,Theta,Alpha,BetaL,BetaH,Gamma
2020-12-15 17:23:00,4.344546685328187,1.7888003933768937,1.1791427665577667,0.7646706912681915,0.5717959798039797
2020-12-15 17:24:00,7.25300744270833,2.8721845770833334,1.8260040904761907,0.9254356959821429,0.5484301354166667
2020-12-15 17:25:00,4.046575181845239,1.886928431845238,1.2414315769345237,0.8170300113095241,0.649334441220238
2020-12-15 17:26:00,3.380963820535713,1.4566001668154767,1.0976815717261905,0.6555166462797619,0.4382919629464285
2020-12-15 17:27:00,4.010873123997625,1.901068437629938,1.3864127907632908,0.7691016787941789,0.5492119708939709
2020-12-15 17:28:00,4.911513009821429,2.533143363690477,1.7494505525297621,0.9480234052083331,0.5963484572916667
2020-12-15 17:29:00,4.871116997321428,3.133787145684523,2.482962526190476,1.4839084046130953,1.3075341273809526
2020-12-15 17:30:00,4.986772591773091,2.5037799659934654,1.6953504815859817,0.9891469670329668,0.7052234082269083
2020-12-15 17:31:00,3.7251643933035723,1.6264429108630953,1.2476978915178571,0.9710279360119045,0.865000480952381
2020-12-15 17:32:00,3.047018906547618,1.9016802096726193,1.6503110377976193,1.0402045306547618,0.8025952766369047
2020-12-15 17:33:00,6.137988587499999,2.8173400270833335,2.376392100000001,1.4656508947916667,1.332776797321429
2020-12-15 17:34:00,6.661113348529848,2.508906384466885,1.6838625164835168,1.1362839662904665,1.0752355277695276
2020-12-15 17:35:00,3.503903486458332,1.7521645531250003,1.5090949712797619,1.0244173578869047,0.814562559375
2020-12-15 17:36:00,3.1913612546130947,1.7628923043154763,1.5519266779761904,0.926209376041667,0.6705188316964285
2020-12-15 17:37:00,5.02037254136905,2.245590376636905,1.7925111458333334,1.226222759375,0.9793083473214284
2020-12-15 17:38:00,3.1906493641223648,1.5047685389070389,1.3120756914166911,0.9244328408078409,0.8401374765369768
2020-12-15 17:39:00,4.766758436011906,1.6554024464285715,1.4045284504464282,1.1585189662202384,1.0426573455357147
2020-12-15 17:40:00,7.008173537053571,1.8952739254464295,1.043980232886905,0.6576141444940476,0.42612042619047624
2020-12-15 17:41:00,5.402829358033857,2.1562022041877036,1.3935168246213243,0.9902174714879711,1.0355074146124144
2020-12-15 17:42:00,3.608332135416667,1.3537836708333335,0.8678963114583331,0.6103061336309522,0.4118354577380953
2020-12-15 17:43:00,4.621403560119046,1.7579699413690477,1.1446183419642857,0.5983065552083333,0.43769189657738117
2020-12-15 17:44:00,228.93575817261916,73.07119947098214,27.489127623511898,12.789883024702371,3.9076914806547625
2020-12-15 17:45:00,12.015313093109585,2.7302576894861876,1.1410378663498657,0.6024723082863082,0.3391738944163944
2020-12-15 17:46:00,4.832137367113096,1.9497124005952386,1.229446385714286,0.6708480776785714,0.4306727473214286
2020-12-15 17:47:00,3.0196115520833327,1.5548551880952381,1.1520201941964285,0.7195765148809523,0.4971560105654761
2020-12-15 17:48:00,3.92022508407738,2.2945447373511905,1.9287976888392855,1.113963986904762,1.0223445150297625
2020-12-15 17:49:00,4.528711842886842,2.323052972972973,1.612801662310662,1.0116096727056725,0.8257748813483813
2020-12-15 17:50:00,5.419010855654762,3.3065893168154754,2.184387409077381,1.3431743449404767,0.9977911708333336
2020-12-15 17:51:00,4.113445172619048,1.8724022772321427,1.1988230726190476,0.6918119357142858,0.4847707982142858
2020-12-15 17:52:00,5.142120380902881,2.146537370953371,1.6699680953370952,1.0493730184140182,1.1033672773982777
2020-12-15 17:53:00,103.5285418525298,30.34694043749996,11.898204259672623,4.235635466071431,1.4572261864583331
2020-12-15 17:54:00,6.306412494196429,2.7968471431547615,1.8575797977678568,1.2576121982142856,1.0692959741071424
2020-12-15 17:55:00,5.457543259821427,2.0232974175595233,1.079367104464286,0.7248328522321427,0.5429855287202382
2020-12-15 17:56:00,2.871831329818829,1.3759241287496289,0.8053321692901692,0.5472503672408672,0.4037552328482329
2020-12-15 17:57:00,3.312238900744048,1.3761106921130952,0.8077582043154762,0.4847880818452382,0.2755249028273809
2020-12-15 17:58:00,4.7065864489583324,2.4313073462797616,1.94551748125,0.9323669177083336,0.6621280760416667
2020-12-15 17:59:00,7.458206234807508,6.820300725103404,5.553925101177219,3.970091641107223,2.677987485205218
